date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:45:27	34960/34960	---M-Z	200	added ('OK')	text/html	etag:%228890-5af06c0b05740-gzip%22	https://jthemes.net/themes/html/bolby/demo/index-3-dark.html	/home/kali/websites/cv/jthemes.net/themes/html/bolby/demo/index-3-dark.html	(from )
14:45:29	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-604bde673af7a%22	https://jthemes.net/robots.txt		(from )
14:45:29	7244/7244	---M--	200	added ('OK')	image/png	etag:%221c4c-5af06c3407800%22	https://jthemes.net/themes/html/bolby/demo/images/favicon.png	/home/kali/websites/cv/jthemes.net/themes/html/bolby/demo/images/favicon.png	(from https://jthemes.net/themes/html/bolby/demo/index-3-dark.html)
14:45:30	153182/153182	---M-Z	200	added ('OK')	text/css	etag:%222565e-5af06c11b2700-gzip%22	https://jthemes.net/themes/html/bolby/demo/css/bootstrap.min.css	/home/kali/websites/cv/jthemes.net/themes/html/bolby/demo/css/bootstrap.min.css	(from https://jthemes.net/themes/html/bolby/demo/index-3-dark.html)
14:45:31	51215/51215	---M-Z	200	added ('OK')	text/css	etag:%22c80f-5af06c12a6940-gzip%22	https://jthemes.net/themes/html/bolby/demo/css/all.min.css	/home/kali/websites/cv/jthemes.net/themes/html/bolby/demo/css/all.min.css	(from https://jthemes.net/themes/html/bolby/demo/index-3-dark.html)
14:45:32	12958/12958	---M-Z	200	added ('OK')	text/css	etag:%22329e-5af06c139ab80-gzip%22	https://jthemes.net/themes/html/bolby/demo/css/simple-line-icons.css	/home/kali/websites/cv/jthemes.net/themes/html/bolby/demo/css/simple-line-icons.css	(from https://jthemes.net/themes/html/bolby/demo/index-3-dark.html)
14:45:33	4909/4909	---M-Z	200	added ('OK')	text/css	etag:%22132d-5af06c12a6940-gzip%22	https://jthemes.net/themes/html/bolby/demo/css/slick.css	/home/kali/websites/cv/jthemes.net/themes/html/bolby/demo/css/slick.css	(from https://jthemes.net/themes/html/bolby/demo/index-3-dark.html)
14:45:34	77907/77907	---M-Z	200	added ('OK')	text/css	etag:%2213053-5af06c139ab80-gzip%22	https://jthemes.net/themes/html/bolby/demo/css/animate.css	/home/kali/websites/cv/jthemes.net/themes/html/bolby/demo/css/animate.css	(from https://jthemes.net/themes/html/bolby/demo/index-3-dark.html)
14:45:35	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%221b27-5af06c11b2700-gzip%22	https://jthemes.net/themes/html/bolby/demo/css/magnific-popup.css	/home/kali/websites/cv/jthemes.net/themes/html/bolby/demo/css/magnific-popup.css	(from https://jthemes.net/themes/html/bolby/demo/index-3-dark.html)
14:45:36	59264/59264	---M-Z	200	added ('OK')	text/css	etag:%22e780-5af06c1583000-gzip%22	https://jthemes.net/themes/html/bolby/demo/css/style.css	/home/kali/websites/cv/jthemes.net/themes/html/bolby/demo/css/style.css	(from https://jthemes.net/themes/html/bolby/demo/index-3-dark.html)
14:45:37	5590/5590	---M--	200	added ('OK')	image/svg+xml	etag:%2215d6-5af06c37d8100%22	https://jthemes.net/themes/html/bolby/demo/images/logo.svg	/home/kali/websites/cv/jthemes.net/themes/html/bolby/demo/images/logo.svg	(from https://jthemes.net/themes/html/bolby/demo/index-3-dark.html)
14:45:38	13264/13264	---M--	200	added ('OK')	image/svg+xml	etag:%2233d0-5af06c312b140%22	https://jthemes.net/themes/html/bolby/demo/images/avatar-1.svg	/home/kali/websites/cv/jthemes.net/themes/html/bolby/demo/images/avatar-1.svg	(from https://jthemes.net/themes/html/bolby/demo/index-3-dark.html)
14:45:39	14337/14337	---M--	200	added ('OK')	image/svg+xml	etag:%223801-5af06c2e4ea80%22	https://jthemes.net/themes/html/bolby/demo/images/avatar-2.svg	/home/kali/websites/cv/jthemes.net/themes/html/bolby/demo/images/avatar-2.svg	(from https://jthemes.net/themes/html/bolby/demo/index-3-dark.html)
14:45:40	20612/20612	---M--	200	added ('OK')	image/svg+xml	etag:%225084-5af06c38cc340%22	https://jthemes.net/themes/html/bolby/demo/images/service-1.svg	/home/kali/websites/cv/jthemes.net/themes/html/bolby/demo/images/service-1.svg	(from https://jthemes.net/themes/html/bolby/demo/index-3-dark.html)
14:45:41	4571/4571	---M--	200	added ('OK')	image/svg+xml	etag:%2211db-5af06c39c0580%22	https://jthemes.net/themes/html/bolby/demo/images/service-2.svg	/home/kali/websites/cv/jthemes.net/themes/html/bolby/demo/images/service-2.svg	(from https://jthemes.net/themes/html/bolby/demo/index-3-dark.html)
14:45:42	7753/7753	---M--	200	added ('OK')	image/svg+xml	etag:%221e49-5af06c38cc340%22	https://jthemes.net/themes/html/bolby/demo/images/service-3.svg	/home/kali/websites/cv/jthemes.net/themes/html/bolby/demo/images/service-3.svg	(from https://jthemes.net/themes/html/bolby/demo/index-3-dark.html)
14:45:43	23435/23435	---M--	200	added ('OK')	image/svg+xml	etag:%225b8b-5af06c480e740%22	https://jthemes.net/themes/html/bolby/demo/images/works/1.svg	/home/kali/websites/cv/jthemes.net/themes/html/bolby/demo/images/works/1.svg	(from https://jthemes.net/themes/html/bolby/demo/index-3-dark.html)
